Case_ID,Transaction_ID,From_Account,To_Account,Amount,Date,Time,IP,Phone,Email
C007,T00001,ACC0336,ACC0062,3530,2023-02-14,10:50,192.168.1.24,7800468073,user77@example.com
C011,T00002,ACC0075,ACC0213,95599,2023-01-02,07:59,192.168.1.34,9596216699,user38@example.com
C020,T00003,ACC0249,ACC0137,88535,2023-03-29,16:54,192.168.1.42,8702670225,user5@example.com
C001,T00004,ACC0114,ACC0191,10604,2023-03-19,03:53,192.168.1.23,6102534458,user62@example.com
C009,T00005,ACC0242,ACC0440,82468,2023-04-01,01:17,192.168.1.32,6787254499,user32@example.com
C010,T00006,ACC0338,ACC0087,21345,2023-01-13,22:02,192.168.1.26,7327439684,user29@example.com
C006,T00007,ACC0265,ACC0062,70885,2023-02-28,05:40,192.168.1.4,9239123098,user6@example.com
C012,T00008,ACC0195,ACC0004,31001,2023-04-17,00:35,192.168.1.47,8614333799,user85@example.com
C014,T00009,ACC0069,ACC0483,63752,2023-02-14,01:18,192.168.1.41,8484887910,user55@example.com
C013,T00010,ACC0482,ACC0010,41410,2023-02-04,18:12,192.168.1.35,7327439684,user25@example.com
C018,T00011,ACC0125,ACC0193,38829,2023-03-19,09:34,192.168.1.2,9012886331,user49@example.com
C020,T00012,ACC0037,ACC0133,35106,2023-03-07,09:00,192.168.1.30,8966336144,user11@example.com
C006,T00013,ACC0322,ACC0208,99990,2023-02-23,16:37,192.168.1.44,7141735120,user84@example.com
C003,T00014,ACC0223,ACC0411,55563,2023-04-10,04:04,192.168.1.14,8759217831,user41@example.com
C017,T00015,ACC0417,ACC0278,69728,2023-03-15,17:37,192.168.1.25,6535183618,user45@example.com
C010,T00016,ACC0463,ACC0274,96889,2023-06-10,14:43,192.168.1.5,9919786559,user24@example.com
C003,T00017,ACC0470,ACC0443,29419,2023-06-10,12:14,192.168.1.38,7512704154,user31@example.com
C011,T00018,ACC0345,ACC0261,57519,2023-03-29,18:30,192.168.1.22,7353435606,user95@example.com
C001,T00019,ACC0477,ACC0297,79846,2023-05-29,22:57,192.168.1.48,7833862491,user77@example.com
C015,T00020,ACC0425,ACC0347,79137,2023-06-19,07:00,192.168.1.22,9596216699,user99@example.com
C011,T00021,ACC0351,ACC0412,85934,2023-05-28,09:47,192.168.1.17,6075693840,user7@example.com
C008,T00022,ACC0261,ACC0225,68556,2023-03-02,16:44,192.168.1.26,7833862491,user58@example.com
C007,T00023,ACC0008,ACC0490,7225,2023-05-19,08:28,192.168.1.30,8618485975,user60@example.com
C012,T00024,ACC0391,ACC0053,24507,2023-05-01,06:52,192.168.1.28,6298832043,user36@example.com
C007,T00025,ACC0096,ACC0434,1101,2023-01-27,16:55,192.168.1.1,6535183618,user1@example.com
C001,T00026,ACC0415,ACC0193,59280,2023-06-29,07:30,192.168.1.18,6361615148,user35@example.com
C017,T00027,ACC0278,ACC0450,30987,2023-06-29,20:43,192.168.1.41,8286929404,user57@example.com
C019,T00028,ACC0058,ACC0447,21456,2023-01-25,04:01,192.168.1.42,9131228177,user29@example.com
C019,T00029,ACC0075,ACC0065,55300,2023-06-27,11:57,192.168.1.7,7998294103,user32@example.com
C005,T00030,ACC0128,ACC0327,1690,2023-01-03,11:02,192.168.1.2,8786001402,user9@example.com
C019,T00031,ACC0150,ACC0250,13198,2023-05-28,04:31,192.168.1.40,6075693840,user72@example.com
C014,T00032,ACC0019,ACC0381,74781,2023-05-06,15:03,192.168.1.32,9992380683,user1@example.com
C018,T00033,ACC0056,ACC0173,91279,2023-02-01,10:42,192.168.1.20,6453930471,user39@example.com
C004,T00034,ACC0485,ACC0360,44697,2023-03-09,21:57,192.168.1.46,6877612879,user46@example.com
C019,T00035,ACC0265,ACC0030,68651,2023-06-01,13:16,192.168.1.7,9533523285,user87@example.com
C005,T00036,ACC0174,ACC0293,33694,2023-03-16,13:43,192.168.1.13,7065339454,user32@example.com
C008,T00037,ACC0213,ACC0098,1971,2023-05-21,21:20,192.168.1.37,9992380683,user8@example.com
C003,T00038,ACC0114,ACC0197,34373,2023-01-24,18:23,192.168.1.49,7341824550,user84@example.com
C016,T00039,ACC0409,ACC0450,33970,2023-06-26,18:02,192.168.1.8,7512704154,user66@example.com
C001,T00040,ACC0476,ACC0066,90175,2023-06-23,18:47,192.168.1.50,6159853865,user26@example.com
C002,T00041,ACC0044,ACC0149,98820,2023-02-14,10:29,192.168.1.13,9732472035,user65@example.com
C001,T00042,ACC0381,ACC0024,43785,2023-05-04,13:17,192.168.1.38,8490349932,user74@example.com
C018,T00043,ACC0346,ACC0043,53555,2023-03-18,17:56,192.168.1.47,9012886331,user62@example.com
C001,T00044,ACC0368,ACC0176,59255,2023-04-19,21:19,192.168.1.38,6556220817,user88@example.com
C018,T00045,ACC0283,ACC0307,59652,2023-01-10,13:40,192.168.1.19,8614333799,user60@example.com
C013,T00046,ACC0370,ACC0481,63067,2023-05-18,21:34,192.168.1.33,7749388328,user25@example.com
C010,T00047,ACC0174,ACC0465,10685,2023-05-19,06:09,192.168.1.13,7304487890,user31@example.com
C011,T00048,ACC0414,ACC0205,62073,2023-01-10,00:37,192.168.1.18,9533523285,user12@example.com
C019,T00049,ACC0220,ACC0180,37485,2023-05-10,05:48,192.168.1.19,7341824550,user4@example.com
C001,T00050,ACC0303,ACC0183,68275,2023-02-18,06:06,192.168.1.21,6127847302,user96@example.com
C018,T00051,ACC0480,ACC0297,79969,2023-02-02,10:58,192.168.1.43,8286929404,user44@example.com
C005,T00052,ACC0331,ACC0195,6568,2023-03-07,19:43,192.168.1.2,6361615148,user2@example.com
C008,T00053,ACC0492,ACC0471,36552,2023-06-25,23:00,192.168.1.3,6652921161,user18@example.com
C013,T00054,ACC0222,ACC0345,4409,2023-06-01,01:49,192.168.1.47,7551777988,user47@example.com
C013,T00055,ACC0109,ACC0208,26188,2023-05-08,11:49,192.168.1.8,9189562222,user13@example.com
C015,T00056,ACC0230,ACC0364,30183,2023-04-19,08:32,192.168.1.29,6256720444,user52@example.com
C014,T00057,ACC0464,ACC0450,26732,2023-01-21,02:08,192.168.1.18,6343121319,user68@example.com
C017,T00058,ACC0373,ACC0134,47847,2023-06-02,00:04,192.168.1.39,6877612879,user60@example.com
C013,T00059,ACC0309,ACC0175,12383,2023-04-02,18:31,192.168.1.3,8490349932,user62@example.com
C004,T00060,ACC0067,ACC0371,58312,2023-06-12,23:26,192.168.1.23,8310891037,user87@example.com
C004,T00061,ACC0023,ACC0413,78643,2023-04-21,17:48,192.168.1.8,9481505619,user100@example.com
C018,T00062,ACC0077,ACC0364,62008,2023-04-28,04:33,192.168.1.17,6127847302,user89@example.com
