transaction_id,source_account,destination_account,amount,timestamp,ip_address,email,phone_number,date,from_account,to_account,transaction_type,ip,phone,case_id,time
T1,ACC1053,ACC1067,46474.94,2025-01-07 01:18:14,79.153.20.227,qparker@gmail.com,+1-252-651-4258,,,,,,,UPLOADED,12:00:00
T2,ACC1077,ACC1021,8881.95,2025-04-03 01:55:41,213.111.176.4,janetshelton@reed-stark.info,(423)836-8983,,,,,,,UPLOADED,12:00:00
T3,ACC1084,ACC1022,46610.5,2024-08-17 03:11:23,43.83.55.199,bruiz@gmail.com,(231)660-8153x610,,,,,,,UPLOADED,12:00:00
T4,ACC1061,ACC1060,27224.47,2025-02-04 14:05:16,167.206.152.168,sbutler@yahoo.com,018.145.5662,,,,,,,UPLOADED,12:00:00
T5,ACC1062,ACC1003,14564.12,2025-01-03 02:30:10,182.43.158.247,amandabaxter@barr.com,505-276-5376,,,,,,,UPLOADED,12:00:00
T6,ACC1062,ACC1081,3462.28,2025-06-19 22:12:06,197.136.66.91,yblevins@morgan-garcia.net,7035207945,,,,,,,UPLOADED,12:00:00
T7,ACC1041,ACC1064,4273.72,2025-04-27 01:59:13,20.181.62.114,amanda39@marquez.com,(125)958-5960x519,,,,,,,UPLOADED,12:00:00
T8,ACC1024,ACC1006,18819.17,2025-02-10 01:59:09,175.129.149.124,nathanlane@small.com,(816)826-6278x749,,,,,,,UPLOADED,12:00:00
T9,ACC1009,ACC1092,35591.73,2025-03-11 09:23:14,8.185.154.152,doylecindy@hotmail.com,(167)518-9995x044,,,,,,,UPLOADED,12:00:00
T10,ACC1069,ACC1041,48382.6,2025-04-06 14:44:42,85.249.17.5,ianrodriguez@hotmail.com,(925)619-5406,,,,,,,UPLOADED,12:00:00
T11,ACC1006,ACC1010,22266.11,2025-06-04 18:11:37,29.182.249.129,ericcosta@gmail.com,040-458-5515x7293,,,,,,,UPLOADED,12:00:00
T12,ACC1003,ACC1079,4960.34,2025-05-01 23:46:29,211.87.243.138,qbutler@meyer-miller.com,+1-808-008-9764x93681,,,,,,,UPLOADED,12:00:00
T13,ACC1094,ACC1031,33663.16,2024-07-20 17:24:46,214.176.107.156,griffinkristine@gmail.com,(352)267-7393x666,,,,,,,UPLOADED,12:00:00
T14,ACC1000,ACC1036,36858.36,2024-12-03 11:27:44,208.143.238.190,brianyoung@pruitt.biz,0219498407,,,,,,,UPLOADED,12:00:00
T15,ACC1051,ACC1030,5617.54,2025-01-19 06:41:37,14.142.34.98,hwood@gmail.com,(511)347-9118x433,,,,,,,UPLOADED,12:00:00
T16,ACC1066,ACC1072,23717.36,2024-12-18 17:34:37,191.142.59.204,zcooper@sheppard.biz,(486)341-5713x20511,,,,,,,UPLOADED,12:00:00
T17,ACC1075,ACC1060,35336.35,2025-04-18 01:23:15,54.26.137.95,fryyvonne@gmail.com,(169)837-8054x508,,,,,,,UPLOADED,12:00:00
T18,ACC1010,ACC1087,28856.22,2025-06-10 12:42:20,152.78.153.142,jpayne@yahoo.com,085-302-9825x930,,,,,,,UPLOADED,12:00:00
T19,ACC1070,ACC1075,49620.61,2024-11-01 03:02:04,141.52.254.19,rewing@hotmail.com,687-225-6304x0030,,,,,,,UPLOADED,12:00:00
T20,ACC1038,ACC1046,37935.41,2024-08-25 05:58:44,180.9.125.250,shawnharris@jordan-long.biz,(394)797-0208x806,,,,,,,UPLOADED,12:00:00
T21,ACC1078,ACC1066,38020.42,2025-06-21 09:28:06,69.134.229.54,lindsey20@yahoo.com,+1-556-445-0014x73112,,,,,,,UPLOADED,12:00:00
T22,ACC1066,ACC1068,35171.89,2025-03-14 00:44:32,107.239.41.2,adam26@davidson.org,062-497-4725x292,,,,,,,UPLOADED,12:00:00
T23,ACC1072,ACC1062,2711.07,2025-01-14 07:51:22,134.122.21.160,silvatracy@hotmail.com,769.110.9111,,,,,,,UPLOADED,12:00:00
T24,ACC1067,ACC1026,41319.03,2025-02-26 09:05:56,195.252.89.141,cheryl25@jones.org,365.945.0974x3697,,,,,,,UPLOADED,12:00:00
T25,ACC1012,ACC1037,18366.16,2025-07-08 01:27:48,138.235.16.79,qclark@soto.com,423.082.2921x73645,,,,,,,UPLOADED,12:00:00
T26,ACC1052,ACC1075,22284.46,2024-09-23 11:21:18,106.226.225.182,charlestorres@yahoo.com,(635)027-0935x8532,,,,,,,UPLOADED,12:00:00
T27,ACC1038,ACC1006,31956.68,2024-11-06 14:33:49,48.142.211.247,nicole95@cole.org,(028)368-1927,,,,,,,UPLOADED,12:00:00
T28,ACC1032,ACC1076,14987.66,2024-07-22 03:10:42,209.225.119.200,rachael74@christian-gray.com,9883019694,,,,,,,UPLOADED,12:00:00
T29,ACC1027,ACC1017,19050.9,2025-01-07 14:10:54,57.63.153.72,vshaw@clark-rodgers.biz,(792)988-0192,,,,,,,UPLOADED,12:00:00
T30,ACC1048,ACC1029,1864.16,2025-06-01 04:44:58,84.99.126.11,cindy45@yahoo.com,(720)278-9273x6893,,,,,,,UPLOADED,12:00:00
T31,ACC1043,ACC1046,28746.74,2024-11-12 15:20:13,194.14.201.2,derekblack@king.com,241.497.5583x4015,,,,,,,UPLOADED,12:00:00
T32,ACC1085,ACC1035,44131.63,2025-01-18 05:11:19,192.91.105.56,leecurtis@wilson.com,+1-876-303-6311x05019,,,,,,,UPLOADED,12:00:00
T33,ACC1039,ACC1072,35575.78,2024-10-11 11:46:16,22.146.23.113,taylorchapman@gmail.com,+1-612-896-0892x6423,,,,,,,UPLOADED,12:00:00
T34,ACC1030,ACC1017,18952.07,2025-05-08 14:09:34,106.179.166.127,kevin73@wright-reid.com,001-983-716-2689,,,,,,,UPLOADED,12:00:00
T35,ACC1036,ACC1020,38495.64,2025-03-04 18:22:09,168.117.80.210,xkey@yahoo.com,001-049-583-0750,,,,,,,UPLOADED,12:00:00
T36,ACC1076,ACC1036,49294.56,2025-04-26 11:38:34,51.193.184.12,bassvictoria@hotmail.com,518-783-5047x29620,,,,,,,UPLOADED,12:00:00
T37,ACC1016,ACC1044,38141.42,2025-05-25 19:30:56,171.1.37.56,esmith@conway.com,001-183-398-4571,,,,,,,UPLOADED,12:00:00
T38,ACC1098,ACC1095,14086.77,2025-01-17 03:23:22,120.142.52.188,brian01@yahoo.com,(107)978-3023x331,,,,,,,UPLOADED,12:00:00
T39,ACC1044,ACC1032,24200.57,2025-01-29 21:21:01,207.87.11.200,zhart@lyons.com,2822045152,,,,,,,UPLOADED,12:00:00
T40,ACC1094,ACC1015,3811.79,2025-06-03 13:36:00,208.37.33.121,logan26@hotmail.com,1921740450,,,,,,,UPLOADED,12:00:00
T41,ACC1024,ACC1090,27495.49,2024-10-25 01:40:09,95.12.215.60,ryantammy@barker-smith.info,4292815306,,,,,,,UPLOADED,12:00:00
T42,ACC1096,ACC1089,26294.5,2025-06-23 12:48:39,198.133.152.222,opope@faulkner.com,873-397-3521x64888,,,,,,,UPLOADED,12:00:00
T43,ACC1036,ACC1094,33134.27,2024-07-20 22:30:58,217.236.225.68,justinoneal@vargas-rodriguez.com,001-181-304-6451,,,,,,,UPLOADED,12:00:00
T44,ACC1025,ACC1027,27250.9,2024-09-02 07:35:07,201.13.115.101,alexis87@brown.info,8952016236,,,,,,,UPLOADED,12:00:00
T45,ACC1009,ACC1025,30625.12,2025-05-19 09:47:12,213.93.172.94,cruzjason@gonzales.com,001-164-341-2683x51402,,,,,,,UPLOADED,12:00:00
T46,ACC1076,ACC1053,7338.21,2024-09-08 09:44:30,55.153.238.195,sabrina91@turner.com,076-148-6499x02603,,,,,,,UPLOADED,12:00:00
T47,ACC1061,ACC1076,39448.31,2025-03-05 01:41:29,150.255.43.93,erica00@fuller.com,001-840-516-4662x935,,,,,,,UPLOADED,12:00:00
T48,ACC1035,ACC1044,34282.9,2025-01-07 10:24:38,220.249.83.86,ebaxter@gmail.com,899.758.0746x26187,,,,,,,UPLOADED,12:00:00
T49,ACC1018,ACC1053,13616.34,2024-11-07 23:47:25,1.57.137.230,joseramos@bradley.com,(780)619-6371x0892,,,,,,,UPLOADED,12:00:00
T50,ACC1026,ACC1096,44805.89,2024-08-12 08:43:32,193.115.139.76,browncharles@hansen.com,001-261-654-8943,,,,,,,UPLOADED,12:00:00
T51,ACC1093,ACC1052,12390.76,2025-05-24 04:53:09,117.127.12.4,davissusan@gmail.com,(110)645-7287,,,,,,,UPLOADED,12:00:00
T52,ACC1044,ACC1080,39245.19,2024-08-29 18:48:56,211.115.163.97,qwhitaker@gmail.com,+1-378-793-6003x11581,,,,,,,UPLOADED,12:00:00
